"","date","bioguide_id","count_protest","count_protest_size","count_non_normative","count_violent","count_palestine_protests","size_palestine_protests","non_normative_palestine_protests","violent_palestine_protests","count_israel_protests","size_israel_protests","non_normative_israel_protests","violent_israel_protests","count_neutral_protests","size_neutral_protests","non_normative_neutral_protests","violent_neutral_protests"
"123","2023-06-02","W000828",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"124","2023-06-04","G000599",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"125","2023-06-05","G000599",1,12,0,0,1,12,0,0,0,0,0,0,0,0,0,0
"126","2023-06-09","G000551",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"127","2023-06-09","M001211",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"128","2023-06-09","W000828",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"129","2023-06-16","G000551",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"130","2023-06-16","M001211",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"131","2023-06-16","W000828",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"132","2023-06-23","G000551",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"133","2023-06-23","M001211",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"134","2023-06-23","W000828",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"135","2023-06-30","G000551",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"136","2023-06-30","M001211",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"137","2023-06-30","P000197",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"138","2023-06-30","W000828",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"139","2023-07-07","G000551",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"140","2023-07-07","G000599",1,50,0,0,1,50,0,0,0,0,0,0,0,0,0,0
"141","2023-07-07","M001143",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"142","2023-07-07","W000828",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
