"","date","bioguide_id","count_statement","sum_legislative_discussion","sum_bipartisan","sum_attack","sum_floor","sum_newsletters","sum_source_statements"
"145","2023-06-06","F000465",1,0,0,0,0,1,0
"146","2023-06-06","W000804",1,1,1,0,0,1,0
"147","2023-06-09","L000599",2,1,1,0,0,2,0
"148","2023-06-09","M001159",2,0,0,0,0,2,0
"149","2023-06-09","S001135",1,0,0,0,0,1,0
"150","2023-06-09","W000809",1,1,0,0,0,1,0
"151","2023-06-10","J000307",2,0,0,0,0,2,0
"152","2023-06-10","L000589",1,0,0,0,0,1,0
"153","2023-06-10","T000478",1,0,0,0,0,1,0
"154","2023-06-11","G000565",1,1,0,0,0,1,0
"155","2023-06-12","H001072",1,1,0,0,1,0,0
"156","2023-06-12","L000599",8,4,2,0,6,2,0
"157","2023-06-12","M001137",7,3,1,0,7,0,0
"158","2023-06-12","M001157",7,2,2,0,7,0,0
"159","2023-06-12","S001215",1,0,1,0,1,0,0
"160","2023-06-13","B001303",3,2,1,0,3,0,0
"161","2023-06-13","G000593",3,2,2,0,0,3,0
"162","2023-06-13","J000289",1,1,0,0,1,0,0
"163","2023-06-13","M001143",21,3,0,0,16,0,5
"164","2023-06-14","M001218",2,1,0,0,2,0,0
"165","2023-06-14","M001224",1,1,0,0,0,1,0
"166","2023-06-15","H001085",1,1,1,0,0,1,0
"167","2023-06-16","C001132",4,0,0,0,0,4,0
"168","2023-06-16","L000599",4,1,1,0,0,4,0
"169","2023-06-16","M001157",1,0,0,0,0,1,0
"170","2023-06-16","S001190",2,1,1,0,0,2,0
"171","2023-06-17","M001213",1,0,0,0,0,1,0
"172","2023-06-17","T000478",2,2,0,0,0,2,0
"173","2023-06-20","G000593",1,1,1,0,0,1,0
"174","2023-06-21","S001190",1,0,0,0,0,0,1
"175","2023-06-22","S000522",3,0,0,0,0,0,3
"176","2023-06-23","B001299",3,1,0,0,0,3,0
"177","2023-06-23","L000564",1,1,0,0,0,1,0
"178","2023-06-23","M001218",1,1,0,0,0,1,0
"179","2023-06-26","S001190",4,0,0,0,0,4,0
"180","2023-06-30","D000632",1,0,1,0,0,1,0
"181","2023-06-30","K000376",2,2,1,0,0,2,0
"182","2023-07-03","L000595",1,0,0,0,0,1,0
"183","2023-07-05","M001199",1,0,0,0,0,1,0
"184","2023-07-06","D000600",1,1,0,0,0,1,0
"185","2023-07-07","B001302",1,1,0,0,0,1,0
"186","2023-07-07","C001132",1,0,0,0,0,1,0
"187","2023-07-07","S001190",3,0,0,0,0,0,3
"188","2023-07-08","T000478",4,0,0,0,0,4,0
"189","2023-07-11","B001300",1,1,0,0,0,0,1
"190","2023-07-12","L000578",2,0,0,0,2,0,0
"191","2023-07-12","W000809",1,1,0,0,0,0,1
"192","2023-07-13","B000574",1,1,0,0,1,0,0
"193","2023-07-13","D000626",1,0,0,0,1,0,0
"194","2023-07-13","S001159",1,1,0,0,1,0,0
"195","2023-07-14","B001302",2,2,0,0,0,2,0
"196","2023-07-14","B001306",1,0,0,0,0,1,0
"197","2023-07-14","H001085",1,1,0,0,1,0,0
"198","2023-07-14","L000564",1,1,0,0,0,1,0
"199","2023-07-14","L000599",1,0,0,0,0,1,0
"200","2023-07-14","P000048",2,2,1,0,0,2,0
"201","2023-07-14","W000809",1,1,0,0,0,1,0
"202","2023-07-15","T000478",3,3,0,0,0,3,0
"203","2023-07-16","G000565",1,1,0,0,0,1,0
"204","2023-07-16","J000298",3,0,0,0,0,0,3
"205","2023-07-16","S001214",1,0,0,0,0,1,0
"206","2023-07-17","A000369",1,1,0,0,0,1,0
"207","2023-07-18","B001298",2,2,0,0,2,0,0
"208","2023-07-18","G000565",2,2,0,0,0,2,0
"209","2023-07-18","G000574",1,1,0,0,1,0,0
"210","2023-07-18","G000578",2,0,0,0,2,0,0
